PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,worstEvenness,worstMovement
0.08,0.62,0.24,0.01,0.47,0.6622611060280906,0.044444446
1.08,0.62,0.24,0.01,0.47,0.8634593969478327,0.044444446
10.08,0.62,0.24,0.01,0.47,0.7634585848607588,0.044444446
100.08,0.62,0.24,0.01,0.47,0.7250445240985998,0.044444446
1000.08,0.62,0.24,0.01,0.47,0.7687154150188836,0.044444446
10000.08,0.62,0.24,0.01,0.47,0.7339860527010852,0.044444446
0.08,0.62,0.24,0.01,0.47,0.7581857813308992,0.044444446
0.08,1.62,0.24,0.01,0.47,0.6948043151132101,0.044444446
0.08,10.62,0.24,0.01,0.47,0.7358618734891169,0.044444446
0.08,100.62,0.24,0.01,0.47,0.6994530676344293,0.044444446
0.08,1000.62,0.24,0.01,0.47,0.6961763517705689,0.044444446
0.08,10000.62,0.24,0.01,0.47,0.7893331837696929,0.044444446
0.08,0.62,0.24,0.01,0.47,0.7079704019974091,0.044444446
0.08,0.62,1.24,0.01,0.47,0.6747726283324337,0.044444446
0.08,0.62,10.24,0.01,0.47,0.759672013710759,0.044444446
0.08,0.62,100.24,0.01,0.47,0.7679875409924254,0.044444446
0.08,0.62,1000.24,0.01,0.47,0.6907469841925143,0.044444446
0.08,0.62,10000.24,0.01,0.47,0.7214573607116007,0.044444446
0.08,0.62,0.24,0.01,0.47,0.7022268009060735,0.044444446
0.08,0.62,0.24,1.01,0.47,0.7011898118654136,0.044444446
0.08,0.62,0.24,10.01,0.47,0.714953270346304,0.044444446
0.08,0.62,0.24,100.01,0.47,0.7416234314401112,0.044444446
0.08,0.62,0.24,1000.01,0.47,0.7272992999165315,0.044444446
0.08,0.62,0.24,10000.01,0.47,0.7058822667860074,0.044444446
0.08,0.62,0.24,0.01,0.47,0.8115377193461473,0.044444446
0.08,0.62,0.24,0.01,1.47,0.7587606807740399,0.044444446
0.08,0.62,0.24,0.01,10.47,0.7241045352779029,0.044444446
0.08,0.62,0.24,0.01,100.47,0.6690042311101677,0.044444446
0.08,0.62,0.24,0.01,1000.47,0.8323896875393975,0.044444446
0.08,0.62,0.24,0.01,10000.47,0.7158775637201835,0.044444446
0.55,0.51,0.42,0.28,0.86,0.7305319063027439,0.06666667
1.55,0.51,0.42,0.28,0.86,0.7063254669172219,0.044444446
10.55,0.51,0.42,0.28,0.86,0.7557686702719921,0.044444446
100.55,0.51,0.42,0.28,0.86,0.6964766918900775,0.044444446
1000.55,0.51,0.42,0.28,0.86,0.6963771511666202,0.044444446
10000.55,0.51,0.42,0.28,0.86,0.713171727240822,0.044444446
0.55,0.51,0.42,0.28,0.86,0.729109159501959,0.044444446
0.55,1.51,0.42,0.28,0.86,0.8089288703176738,0.044444446
0.55,10.51,0.42,0.28,0.86,0.7791810261008788,0.044444446
0.55,100.51,0.42,0.28,0.86,0.7683079434929883,0.044444446
0.55,1000.51,0.42,0.28,0.86,0.7207267385808767,0.044444446
0.55,10000.51,0.42,0.28,0.86,0.7579078802452189,0.044444446
0.55,0.51,0.42,0.28,0.86,0.7578857849541375,0.044444446
